,intensidade,direcao,uwind,vwind,Anom
2015-01-01 00:00:00,3.3,329.0,1.6996,-2.8287,0.2220513699
2015-01-01 01:00:00,3.2,306.0,2.5889,-1.8809,0.2120513699
2015-01-01 02:00:00,5.4,304.0,4.4768,-3.0196,0.1920513699
2015-01-01 03:00:00,1.6,200.0,0.5472,1.5035,0.1220513699
2015-01-01 04:00:00,3.2,308.0,2.5216,-1.9701,-0.007948630140000001
2015-01-01 05:00:00,2.2,337.0,0.8596,-2.0251,-0.1779486301
2015-01-01 06:00:00,3.0,1.0,-0.0524,-2.9995,-0.3179486301
2015-01-01 07:00:00,1.3,327.0,0.708,-1.0903,-0.3679486301
2015-01-01 08:00:00,1.1,94.0,-1.0973,0.0767,-0.26794863010000003
2015-01-01 09:00:00,0.7,325.0,0.4015,-0.5734,-0.09794863014
2015-01-01 10:00:00,1.0,140.0,-0.6428,0.766,0.05205136986
2015-01-01 11:00:00,1.0,42.0,-0.6691,-0.7431,0.1320513699
2015-01-01 12:00:00,1.7,79.0,-1.6688,-0.3244,0.1420513699
2015-01-01 13:00:00,2.5,82.0,-2.4757,-0.3479,0.1220513699
2015-01-01 14:00:00,1.8,92.0,-1.7989,0.0628,0.08205136986
2015-01-01 15:00:00,1.7,75.0,-1.6421,-0.44,0.00205136986
2015-01-01 16:00:00,1.9,119.0,-1.6618,0.9211,-0.12794863010000002
2015-01-01 17:00:00,1.8,252.0,1.7119,0.5562,-0.2979486301
2015-01-01 18:00:00,0.5,263.0,0.4963,0.0609,-0.4579486301
2015-01-01 19:00:00,1.6,4.0,-0.1116,-1.5961,-0.5479486301000001
2015-01-01 20:00:00,1.6,107.0,-1.5301,0.4678,-0.4879486301
2015-01-01 21:00:00,1.4,96.0,-1.3923,0.1463,-0.3079486301
2015-01-01 22:00:00,1.8,127.0,-1.4375,1.0833,-0.09794863014
2015-01-01 23:00:00,2.1,111.0,-1.9605,0.7526,0.09205136986
2015-01-02 00:00:00,1.4,129.0,-1.088,0.881,0.2120513699
2015-01-02 01:00:00,1.6,136.0,-1.1115,1.1509,0.2720513699
2015-01-02 02:00:00,5.2,193.0,1.1697,5.0667,0.2720513699
2015-01-02 03:00:00,3.4,224.0,2.3618,2.4458,0.2120513699
2015-01-02 04:00:00,3.5,45.0,-2.4749,-2.4749,0.08205136986
2015-01-02 05:00:00,2.7,15.0,-0.6988,-2.608,-0.09794863014
2015-01-02 06:00:00,1.6,204.0,0.6508,1.4617,-0.26794863010000003
2015-01-02 07:00:00,1.7,212.0,0.9009,1.4417,-0.3779486301
2015-01-02 08:00:00,3.0,209.0,1.4544,2.6239,-0.3779486301
2015-01-02 09:00:00,6.3,209.0,3.0543,5.5101,-0.2479486301
2015-01-02 10:00:00,6.3,224.0,4.3763,4.5318,-0.04794863014
2015-01-02 11:00:00,6.1,213.0,3.3223,5.1159,0.1220513699
2015-01-02 12:00:00,6.3,199.0,2.0511,5.9568,0.2220513699
2015-01-02 13:00:00,6.8,197.0,1.9881,6.5029,0.2320513699
2015-01-02 14:00:00,5.9,198.0,1.8232,5.6112,0.1820513699
2015-01-02 15:00:00,7.6,196.0,2.0948,7.3056,0.09205136986
2015-01-02 16:00:00,6.3,202.0,2.36,5.8413,-0.03794863014
2015-01-02 17:00:00,5.4,206.0,2.3672,4.8535,-0.2079486301
2015-01-02 18:00:00,7.0,199.0,2.279,6.6186,-0.3979486301
2015-01-02 19:00:00,7.0,197.0,2.0466,6.6941,-0.5379486301
2015-01-02 20:00:00,5.8,193.0,1.3047,5.6513,-0.5679486301
2015-01-02 21:00:00,5.9,190.0,1.0245,5.8104,-0.4779486301
2015-01-02 22:00:00,5.1,192.0,1.0603,4.9886,-0.2479486301
2015-01-02 23:00:00,4.5,187.0,0.5484,4.4665,0.02205136986
2015-01-03 00:00:00,4.9,189.0,0.7665,4.8397,0.2520513699
2015-01-03 01:00:00,3.9,191.0,0.7442,3.8283,0.3820513699
2015-01-03 02:00:00,1.3,253.0,1.2432,0.3801,0.4220513699
2015-01-03 03:00:00,1.0,248.0,0.9272,0.3746,0.3820513699
2015-01-03 04:00:00,1.2,295.0,1.0876,-0.5071,0.2720513699
2015-01-03 05:00:00,1.2,318.0,0.803,-0.8918,0.1120513699
2015-01-03 06:00:00,1.4,327.0,0.7625,-1.1741,-0.07794863014
2015-01-03 07:00:00,1.5,319.0,0.9841,-1.1321,-0.2579486301
2015-01-03 08:00:00,1.1,311.0,0.8302,-0.7217,-0.3479486301
2015-01-03 09:00:00,1.6,318.0,1.0706,-1.189,-0.3079486301
2015-01-03 10:00:00,1.1,311.0,0.8302,-0.7217,-0.1379486301
2015-01-03 11:00:00,1.3,251.0,1.2292,0.4232,0.1120513699
2015-01-03 12:00:00,1.8,171.0,-0.2816,1.7778,0.3320513699
2015-01-03 13:00:00,2.9,184.0,0.2023,2.8929,0.4420513699
2015-01-03 14:00:00,1.7,130.0,-1.3023,1.0927,0.4120513699
2015-01-03 15:00:00,2.1,125.0,-1.7202,1.2045,0.3020513699
2015-01-03 16:00:00,2.4,110.0,-2.2553,0.8208,0.1620513699
2015-01-03 17:00:00,2.8,93.0,-2.7962,0.1465,-0.007948630140000001
2015-01-03 18:00:00,2.9,96.0,-2.8841,0.3031,-0.1979486301
2015-01-03 19:00:00,3.3,82.0,-3.2679,-0.4593,-0.3779486301
2015-01-03 20:00:00,3.8,70.0,-3.5708,-1.2997,-0.5179486301
2015-01-03 21:00:00,3.4,57.0,-2.8515,-1.8518,-0.5179486301
2015-01-03 22:00:00,3.7,48.0,-2.7496,-2.4758,-0.3679486301
2015-01-03 23:00:00,2.1,10.0,-0.3647,-2.0681,-0.08794863014000001
2015-01-04 00:00:00,2.5,18.0,-0.7725,-2.3776,0.2320513699
2015-01-04 01:00:00,2.7,21.0,-0.9676,-2.5207,0.4920513699
2015-01-04 02:00:00,1.3,341.0,0.4232,-1.2292,0.6020513699
2015-01-04 03:00:00,1.4,333.0,0.6356,-1.2474,0.5720513699
2015-01-04 04:00:00,1.7,338.0,0.6368,-1.5762,0.4620513699
2015-01-04 05:00:00,1.7,331.0,0.8242,-1.4869,0.3020513699
2015-01-04 06:00:00,1.2,323.0,0.7222,-0.9584,0.1220513699
2015-01-04 07:00:00,1.2,356.0,0.0837,-1.1971,-0.04794863014
2015-01-04 08:00:00,1.2,359.0,0.0209,-1.1998,-0.1779486301
2015-01-04 09:00:00,1.5,221.0,0.9841,1.1321,-0.2179486301
2015-01-04 10:00:00,1.2,211.0,0.618,1.0286,-0.12794863010000002
2015-01-04 11:00:00,1.6,182.0,0.0558,1.599,0.1020513699
2015-01-04 12:00:00,1.8,110.0,-1.6914,0.6156,0.3520513699
2015-01-04 13:00:00,2.0,115.0,-1.8126,0.8452,0.5420513699
2015-01-04 14:00:00,1.9,112.0,-1.7616,0.7118,0.6120513699
2015-01-04 15:00:00,2.1,109.0,-1.9856,0.6837,0.5620513699
2015-01-04 16:00:00,2.2,122.0,-1.8657,1.1658,0.3920513699
2015-01-04 17:00:00,2.1,136.0,-1.4588,1.5106,0.1620513699
2015-01-04 18:00:00,2.6,127.0,-2.0765,1.5647,-0.09794863014
2015-01-04 19:00:00,3.4,164.0,-0.9372,3.2683,-0.3079486301
2015-01-04 20:00:00,2.6,110.0,-2.4432,0.8893,-0.4579486301
2015-01-04 21:00:00,1.7,108.0,-1.6168,0.5253,-0.5079486301
2015-01-04 22:00:00,1.5,115.0,-1.3595,0.6339,-0.4479486301
2015-01-04 23:00:00,2.1,91.0,-2.0997,0.0367,-0.2479486301
2015-01-05 00:00:00,2.5,81.0,-2.4692,-0.3911,0.05205136986
2015-01-05 01:00:00,1.9,63.0,-1.6929,-0.8626,0.3720513699
2015-01-05 02:00:00,1.0,286.0,0.9613,-0.2756,0.6120513699
2015-01-05 03:00:00,1.2,315.0,0.8485,-0.8485,0.6820513699
2015-01-05 04:00:00,1.0,323.0,0.6018,-0.7986,0.6020513699
2015-01-05 05:00:00,1.2,337.0,0.4689,-1.1046,0.4220513699
2015-01-05 06:00:00,1.3,339.0,0.4659,-1.2137,0.2120513699
2015-01-05 07:00:00,1.4,330.0,0.7,-1.2124,0.02205136986
2015-01-05 08:00:00,1.4,320.0,0.8999,-1.0725,-0.1479486301
2015-01-05 09:00:00,1.3,338.0,0.487,-1.2053,-0.2479486301
2015-01-05 10:00:00,1.3,329.0,0.6695,-1.1143,-0.2479486301
2015-01-05 11:00:00,1.8,11.0,-0.3435,-1.7669,-0.12794863010000002
2015-01-05 12:00:00,2.9,65.0,-2.6283,-1.2256,0.1220513699
2015-01-05 13:00:00,4.2,65.0,-3.8065,-1.775,0.3920513699
2015-01-05 14:00:00,4.3,71.0,-4.0657,-1.3999,0.5820513699
2015-01-05 15:00:00,5.0,74.0,-4.8063,-1.3782,0.6020513699
2015-01-05 16:00:00,6.0,70.0,-5.6382,-2.0521,0.4620513699
2015-01-05 17:00:00,6.0,67.0,-5.523,-2.3444,0.2120513699
2015-01-05 18:00:00,6.2,68.0,-5.7485,-2.3226,-0.05794863014
2015-01-05 19:00:00,6.4,66.0,-5.8467,-2.6031,-0.2979486301
2015-01-05 20:00:00,7.2,61.0,-6.2973,-3.4906,-0.4679486301
2015-01-05 21:00:00,7.6,61.0,-6.6471,-3.6846,-0.5779486301
2015-01-05 22:00:00,7.5,60.0,-6.4952,-3.75,-0.6279486301
2015-01-05 23:00:00,8.3,56.0,-6.881,-4.6413,-0.5279486301
2015-01-06 00:00:00,8.3,55.0,-6.799,-4.7607,-0.26794863010000003
2015-01-06 01:00:00,6.4,49.0,-4.8301,-4.1988,0.08205136986
2015-01-06 02:00:00,5.5,45.0,-3.8891,-3.8891,0.4120513699
2015-01-06 03:00:00,4.7,40.0,-3.0211,-3.6004,0.5920513699
2015-01-06 04:00:00,5.7,46.0,-4.1002,-3.9596,0.5620513699
2015-01-06 05:00:00,3.7,33.0,-2.0152,-3.1031,0.3820513699
2015-01-06 06:00:00,4.2,36.0,-2.4687,-3.3979,0.1620513699
2015-01-06 07:00:00,2.6,12.0,-0.5406,-2.5432,-0.04794863014
2015-01-06 08:00:00,2.2,42.0,-1.4721,-1.6349,-0.2079486301
2015-01-06 09:00:00,2.8,24.0,-1.1389,-2.5579,-0.3279486301
2015-01-06 10:00:00,3.3,11.0,-0.6297,-3.2394,-0.3879486301
2015-01-06 11:00:00,2.1,11.0,-0.4007,-2.0614,-0.3279486301
2015-01-06 12:00:00,3.3,75.0,-3.1876,-0.8541,-0.1479486301
