,Ano,Mes,Dia,hora,T20 Laje,T05 Ponte
0,2014,10,27,0,18.794,22.944
1,2014,10,27,1,18.2,22.896
2,2014,10,27,2,17.915,21.963
3,2014,10,27,3,17.724,21.27
4,2014,10,27,4,17.915,20.007
5,2014,10,27,5,18.2,19.008
6,2014,10,27,6,17.891,19.27
7,2014,10,27,7,17.772,21.963
8,2014,10,27,8,18.105,22.896
9,2014,10,27,9,18.033,21.652
10,2014,10,27,10,18.39,22.465
11,2014,10,27,11,18.699,22.633
12,2014,10,27,12,18.985,22.944
13,2014,10,27,13,18.699,22.705
14,2014,10,27,14,18.129,22.274
15,2014,10,27,15,18.747,21.103
16,2014,10,27,16,18.889,20.007
17,2014,10,27,17,18.818,19.888
18,2014,10,27,18,19.318,20.96
19,2014,10,27,19,19.032,20.674
20,2014,10,27,20,18.842,22.417
21,2014,10,27,21,18.557,22.202
22,2014,10,27,22,18.414,22.513
23,2014,10,27,23,19.246,22.609
24,2014,10,28,0,19.603,23.16
25,2014,10,28,1,19.46,23.232
26,2014,10,28,2,18.414,22.992
27,2014,10,28,3,18.889,21.008
28,2014,10,28,4,19.08,20.579
29,2014,10,28,5,19.056,20.055
30,2014,10,28,6,18.39,19.722
31,2014,10,28,7,18.985,20.317
32,2014,10,28,8,18.889,22.513
33,2014,10,28,9,19.032,22.657
34,2014,10,28,10,19.246,22.393
35,2014,10,28,11,19.579,22.561
36,2014,10,28,12,19.246,22.896
37,2014,10,28,13,19.103,22.824
38,2014,10,28,14,19.294,22.729
39,2014,10,28,15,18.985,22.298
40,2014,10,28,16,18.985,21.342
41,2014,10,28,17,19.484,20.65
42,2014,10,28,18,19.841,20.007
43,2014,10,28,19,19.151,21.628
44,2014,10,28,20,19.389,21.891
45,2014,10,28,21,19.151,22.489
46,2014,10,28,22,19.127,22.537
47,2014,10,28,23,19.318,22.681
48,2014,10,29,0,19.698,22.705
49,2014,10,29,1,19.841,22.848
50,2014,10,29,2,19.841,22.968
51,2014,10,29,3,19.103,22.729
52,2014,10,29,4,19.674,22.106
53,2014,10,29,5,19.508,21.27
54,2014,10,29,6,19.365,20.603
55,2014,10,29,7,19.984,20.246
56,2014,10,29,8,19.651,21.509
57,2014,10,29,9,19.841,21.915
58,2014,10,29,10,19.936,22.537
59,2014,10,29,11,20.031,22.513
60,2014,10,29,12,19.817,22.824
61,2014,10,29,13,19.793,23.112
62,2014,10,29,14,19.746,23.16
63,2014,10,29,15,20.055,23.04
64,2014,10,29,16,19.27,23.136
65,2014,10,29,17,18.675,21.7
66,2014,10,29,18,19.222,21.652
67,2014,10,29,19,18.985,21.987
68,2014,10,29,20,19.888,21.509
69,2014,10,29,21,18.842,22.776
70,2014,10,29,22,19.579,23.232
71,2014,10,29,23,19.77,23.448
72,2014,10,30,0,19.603,23.352
73,2014,10,30,1,19.365,23.593
74,2014,10,30,2,20.341,23.761
75,2014,10,30,3,20.15,23.713
76,2014,10,30,4,18.438,23.4
77,2014,10,30,5,17.819,22.561
78,2014,10,30,6,17.796,21.199
79,2014,10,30,7,16.939,20.793
80,2014,10,30,8,18.414,21.772
81,2014,10,30,9,19.984,22.705
82,2014,10,30,10,18.818,23.497
83,2014,10,30,11,17.415,23.04
84,2014,10,30,12,17.249,22.896
85,2014,10,30,13,17.986,21.581
86,2014,10,30,14,18.129,22.633
87,2014,10,30,15,18.628,22.633
88,2014,10,30,16,19.318,23.617
89,2014,10,30,17,17.249,23.737
90,2014,10,30,18,16.749,21.151
91,2014,10,30,19,16.63,21.461
92,2014,10,30,20,17.748,21.867
93,2014,10,30,21,17.534,22.369
94,2014,10,30,22,17.986,22.202
95,2014,10,30,23,18.39,23.232
96,2014,10,31,0,16.701,22.92
97,2014,10,31,1,16.677,22.465
98,2014,10,31,2,16.868,22.968
99,2014,10,31,3,17.177,22.609
100,2014,10,31,4,18.39,23.617
101,2014,10,31,5,17.106,23.737
102,2014,10,31,6,16.392,21.342
103,2014,10,31,7,16.201,21.485
104,2014,10,31,8,15.605,21.008
105,2014,10,31,9,15.891,21.199
106,2014,10,31,10,15.939,23.112
107,2014,10,31,11,16.272,21.437
108,2014,10,31,12,15.891,21.557
109,2014,10,31,13,16.177,19.936
110,2014,10,31,14,15.963,21.533
111,2014,10,31,15,16.01,22.13
112,2014,10,31,16,16.558,23.737
113,2014,10,31,17,17.439,24.195
114,2014,10,31,18,16.439,23.569
115,2014,10,31,19,16.082,21.318
116,2014,10,31,20,16.701,21.223
117,2014,10,31,21,16.392,22.609
118,2014,10,31,22,16.296,22.274
119,2014,10,31,23,15.963,21.604
120,2014,11,1,0,16.01,21.294
121,2014,11,1,1,16.01,21.294
122,2014,11,1,2,16.058,22.202
123,2014,11,1,3,15.939,22.058
124,2014,11,1,4,16.368,22.8
125,2014,11,1,5,17.486,23.088
126,2014,11,1,6,16.415,25.283
127,2014,11,1,7,16.106,21.676
128,2014,11,1,8,15.867,22.154
129,2014,11,1,9,15.748,22.034
130,2014,11,1,10,15.843,19.77
131,2014,11,1,11,15.772,20.436
132,2014,11,1,12,15.557,19.936
133,2014,11,1,13,15.652,19.722
134,2014,11,1,14,15.509,19.579
135,2014,11,1,15,15.652,19.984
136,2014,11,1,16,15.581,22.345
137,2014,11,1,17,16.082,23.737
138,2014,11,1,18,16.368,22.944
139,2014,11,1,19,16.034,22.465
140,2014,11,1,20,15.939,21.318
