Ano,Mes,Dia,hora,T20 Laje,T05 Ponte
2014,10,27,0,18.794,22.944
2014,10,27,1,18.2,22.896
2014,10,27,2,17.915,21.963
2014,10,27,3,17.724,21.27
2014,10,27,4,17.915,20.007
2014,10,27,5,18.2,19.008
2014,10,27,6,17.891,19.27
2014,10,27,7,17.772,21.963
2014,10,27,8,18.105,22.896
2014,10,27,9,18.033,21.652
2014,10,27,10,18.39,22.465
2014,10,27,11,18.699,22.633
2014,10,27,12,18.985,22.944
2014,10,27,13,18.699,22.705
2014,10,27,14,18.129,22.274
2014,10,27,15,18.747,21.103
2014,10,27,16,18.889,20.007
2014,10,27,17,18.818,19.888
2014,10,27,18,19.318,20.96
2014,10,27,19,19.032,20.674
2014,10,27,20,18.842,22.417
2014,10,27,21,18.557,22.202
2014,10,27,22,18.414,22.513
2014,10,27,23,19.246,22.609
2014,10,28,0,19.603,23.16
2014,10,28,1,19.46,23.232
2014,10,28,2,18.414,22.992
2014,10,28,3,18.889,21.008
2014,10,28,4,19.08,20.579
2014,10,28,5,19.056,20.055
2014,10,28,6,18.39,19.722
2014,10,28,7,18.985,20.317
2014,10,28,8,18.889,22.513
2014,10,28,9,19.032,22.657
2014,10,28,10,19.246,22.393
2014,10,28,11,19.579,22.561
2014,10,28,12,19.246,22.896
2014,10,28,13,19.103,22.824
2014,10,28,14,19.294,22.729
2014,10,28,15,18.985,22.298
2014,10,28,16,18.985,21.342
2014,10,28,17,19.484,20.65
2014,10,28,18,19.841,20.007
2014,10,28,19,19.151,21.628
2014,10,28,20,19.389,21.891
2014,10,28,21,19.151,22.489
2014,10,28,22,19.127,22.537
2014,10,28,23,19.318,22.681
2014,10,29,0,19.698,22.705
2014,10,29,1,19.841,22.848
2014,10,29,2,19.841,22.968
2014,10,29,3,19.103,22.729
2014,10,29,4,19.674,22.106
2014,10,29,5,19.508,21.27
2014,10,29,6,19.365,20.603
2014,10,29,7,19.984,20.246
2014,10,29,8,19.651,21.509
2014,10,29,9,19.841,21.915
2014,10,29,10,19.936,22.537
2014,10,29,11,20.031,22.513
2014,10,29,12,19.817,22.824
2014,10,29,13,19.793,23.112
2014,10,29,14,19.746,23.16
2014,10,29,15,20.055,23.04
2014,10,29,16,19.27,23.136
2014,10,29,17,18.675,21.7
2014,10,29,18,19.222,21.652
2014,10,29,19,18.985,21.987
2014,10,29,20,19.888,21.509
2014,10,29,21,18.842,22.776
2014,10,29,22,19.579,23.232
2014,10,29,23,19.77,23.448
2014,10,30,0,19.603,23.352
2014,10,30,1,19.365,23.593
2014,10,30,2,20.341,23.761
2014,10,30,3,20.15,23.713
2014,10,30,4,18.438,23.4
2014,10,30,5,17.819,22.561
2014,10,30,6,17.796,21.199
2014,10,30,7,16.939,20.793
2014,10,30,8,18.414,21.772
2014,10,30,9,19.984,22.705
